IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.145.180,8443,4-4白嫖,TRUE,白嫖161,Asia Pacific,Singapore,234,68.23
47.236.15.73,2053,4-4白嫖,TRUE,白嫖162,Asia Pacific,Singapore,235,69.23
8.219.50.180,2053,4-4白嫖,TRUE,白嫖163,Asia Pacific,Singapore,236,70.23
47.236.202.91,8443,4-4白嫖,TRUE,白嫖164,Asia Pacific,Singapore,237,71.23
8.222.180.86,8443,4-4白嫖,TRUE,白嫖165,Asia Pacific,Singapore,238,72.23
8.219.101.138,2087,4-4白嫖,TRUE,白嫖166,Asia Pacific,Singapore,239,73.23
8.219.122.96,2083,4-4白嫖,TRUE,白嫖167,Asia Pacific,Singapore,240,74.23
47.236.7.13,8443,4-4白嫖,TRUE,白嫖168,Asia Pacific,Singapore,241,75.23
47.236.123.218,2083,4-4白嫖,TRUE,白嫖169,Asia Pacific,Singapore,242,76.23
8.219.99.169,8443,4-4白嫖,TRUE,白嫖170,Asia Pacific,Singapore,243,77.23
47.236.114.167,2083,4-4白嫖,TRUE,白嫖171,Asia Pacific,Singapore,244,78.23
8.222.167.8,2053,4-4白嫖,TRUE,白嫖172,Asia Pacific,Singapore,245,79.23
47.236.130.95,2053,4-4白嫖,TRUE,白嫖173,Asia Pacific,Singapore,246,80.23
47.236.94.109,2087,4-4白嫖,TRUE,白嫖174,Asia Pacific,Singapore,247,81.23
8.219.161.102,8443,4-4白嫖,TRUE,白嫖175,Asia Pacific,Singapore,248,82.23
8.222.152.71,2087,4-4白嫖,TRUE,白嫖176,Asia Pacific,Singapore,249,83.23
47.236.156.14,2087,4-4白嫖,TRUE,白嫖177,Asia Pacific,Singapore,250,84.23
47.236.144.208,8443,4-4白嫖,TRUE,白嫖178,Asia Pacific,Singapore,251,85.23
47.236.165.25,2083,4-4白嫖,TRUE,白嫖179,Asia Pacific,Singapore,252,86.23
47.236.150.109,2087,4-4白嫖,TRUE,白嫖180,Asia Pacific,Singapore,253,87.23
8.219.123.244,2083,4-4白嫖,TRUE,白嫖181,Asia Pacific,Singapore,254,88.23
8.219.156.148,2053,4-4白嫖,TRUE,白嫖182,Asia Pacific,Singapore,255,89.23
8.222.129.32,2096,4-4白嫖,TRUE,白嫖183,Asia Pacific,Singapore,256,90.23
8.219.161.129,2096,4-4白嫖,TRUE,白嫖184,Asia Pacific,Singapore,257,91.23
47.236.171.112,2096,4-4白嫖,TRUE,白嫖185,Asia Pacific,Singapore,258,92.23
8.222.155.242,8443,4-4白嫖,TRUE,白嫖186,Asia Pacific,Singapore,259,93.23
47.236.7.206,2083,4-4白嫖,TRUE,白嫖187,Asia Pacific,Singapore,260,94.23
47.236.145.180,2087,4-4白嫖,TRUE,白嫖188,Asia Pacific,Singapore,261,95.23
8.219.177.205,2087,4-4白嫖,TRUE,白嫖189,Asia Pacific,Singapore,262,96.23
47.236.174.206,2053,4-4白嫖,TRUE,白嫖190,Asia Pacific,Singapore,263,97.23
47.245.37.12,8443,4-4白嫖,TRUE,白嫖191,Asia Pacific,Singapore,264,98.23
8.219.171.6,2087,4-4白嫖,TRUE,白嫖192,Asia Pacific,Singapore,265,99.23
8.219.103.65,2083,4-4白嫖,TRUE,白嫖193,Asia Pacific,Singapore,266,100.23
8.219.122.96,2053,4-4白嫖,TRUE,白嫖194,Asia Pacific,Singapore,267,101.23
8.219.67.133,8443,4-4白嫖,TRUE,白嫖195,Asia Pacific,Singapore,268,102.23
8.219.208.69,2053,4-4白嫖,TRUE,白嫖196,Asia Pacific,Singapore,269,103.23
