IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.52.153,2082,4-1iptest,FALSE,JP109,Asia Pacific,Osaka,,10
132.145.120.182,2082,4-1iptest,FALSE,JP110,Asia Pacific,Osaka,,10
8.209.240.229,8880,4-1iptest,FALSE,JP111,Asia Pacific,Osaka,,10
47.74.14.85,8080,4-1iptest,FALSE,JP113,Asia Pacific,Osaka,,10
158.179.182.19,8080,4-1iptest,FALSE,JP114,Asia Pacific,Osaka,,10
47.74.12.139,2083,4-1iptest,TRUE,JP115,Asia Pacific,Osaka,,10
141.147.160.86,2053,4-1iptest,TRUE,JP118,Asia Pacific,Osaka,,10
158.101.70.155,2095,4-1iptest,FALSE,JP119,Asia Pacific,Osaka,,10
151.145.65.203,80,4-1iptest,FALSE,JP121,Asia Pacific,Osaka,,10
140.238.35.138,80,4-1iptest,FALSE,JP122,Asia Pacific,Osaka,,10
47.91.19.249,2087,4-1iptest,TRUE,JP123,Asia Pacific,Osaka,,10
138.3.212.162,2086,4-1iptest,FALSE,JP124,Asia Pacific,Osaka,,10
168.138.212.184,2083,4-1iptest,TRUE,JP125,Asia Pacific,Osaka,,10
8.209.243.172,2087,4-1iptest,TRUE,JP126,Asia Pacific,Osaka,,10
150.230.219.83,2082,4-1iptest,FALSE,JP127,Asia Pacific,Osaka,,10
152.70.86.93,443,4-1iptest,TRUE,JP128,Asia Pacific,Osaka,,10
168.138.47.238,8443,4-1iptest,FALSE,JP129,Asia Pacific,Osaka,,10
140.83.57.116,8443,4-1iptest,FALSE,JP130,Asia Pacific,Osaka,,10
64.110.103.69,443,4-1iptest,TRUE,JP131,Asia Pacific,Osaka,,10
64.110.104.30,443,4-1iptest,TRUE,JP132,Asia Pacific,Osaka,,10
13.114.123.213,80,4-1iptest,TRUE,JP133,Asia Pacific,Osaka,,10
47.245.56.121,8080,4-2iptest,FALSE,JP134,Asia Pacific,Osaka,,10
47.245.56.121,8880,4-2iptest,FALSE,JP135,Asia Pacific,Osaka,,10
8.209.241.128,2086,4-2iptest,FALSE,JP136,Asia Pacific,Osaka,,10
8.209.243.172,2082,4-2iptest,FALSE,JP137,Asia Pacific,Osaka,,10
47.91.2.165,80,4-2iptest,FALSE,JP138,Asia Pacific,Osaka,,10
8.209.240.229,2095,4-2iptest,FALSE,JP139,Asia Pacific,Osaka,,10
47.74.26.132,2082,4-2iptest,FALSE,JP140,Asia Pacific,Osaka,,10
47.74.10.135,2082,4-2iptest,FALSE,JP141,Asia Pacific,Osaka,,10
47.74.37.50,2052,4-2iptest,FALSE,JP142,Asia Pacific,Osaka,,10
47.74.52.104,2052,4-2iptest,FALSE,JP143,Asia Pacific,Osaka,,10
47.91.2.165,8080,4-2iptest,FALSE,JP144,Asia Pacific,Osaka,,10
47.245.56.121,2082,4-2iptest,FALSE,JP145,Asia Pacific,Osaka,,10
47.245.40.161,80,4-2iptest,FALSE,JP146,Asia Pacific,Osaka,,10
140.238.46.138,2053,4-2iptest,TRUE,JP147,Asia Pacific,Osaka,,10
47.74.43.95,8880,4-2iptest,FALSE,JP148,Asia Pacific,Osaka,,10
47.74.26.132,2052,4-2iptest,FALSE,JP149,Asia Pacific,Osaka,,10
47.74.52.104,2095,4-2iptest,FALSE,JP150,Asia Pacific,Osaka,,10
47.245.30.65,2086,4-2iptest,FALSE,JP151,Asia Pacific,Osaka,,10
47.245.62.84,2095,4-2iptest,FALSE,JP152,Asia Pacific,Osaka,,10
47.245.37.41,8080,4-2iptest,FALSE,JP153,Asia Pacific,Osaka,,10
8.209.222.31,8880,4-2iptest,FALSE,JP154,Asia Pacific,Osaka,,10
47.74.5.233,8080,4-2iptest,FALSE,JP155,Asia Pacific,Osaka,,10
141.147.160.221,2095,4-2iptest,FALSE,JP156,Asia Pacific,Osaka,,10
47.74.12.139,8880,4-2iptest,FALSE,JP157,Asia Pacific,Osaka,,10
47.74.54.145,2083,4-2iptest,TRUE,JP158,Asia Pacific,Osaka,,10
47.245.52.153,2086,4-2iptest,FALSE,JP159,Asia Pacific,Osaka,,10
140.83.38.243,2082,4-2iptest,FALSE,JP160,Asia Pacific,Osaka,,10
168.138.194.121,2052,4-2iptest,FALSE,JP161,Asia Pacific,Osaka,,10
,,,,JP162,Asia Pacific,Osaka,,10
,,,,JP163,Asia Pacific,Osaka,,10
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
47.236.170.54,2087,,TRUE,SIN001,Asia Pacific,Singapore,66,10
8.222.188.56,2096,,TRUE,SIN002,Asia Pacific,Singapore,58,10
47.236.123.133,8443,,TRUE,SIN003,Asia Pacific,Singapore,128,10
8.222.154.227,2053,,TRUE,SIN004,Asia Pacific,Singapore,131,10
8.222.137.166,8443,,TRUE,SIN005,Asia Pacific,Singapore,135,10
47.236.148.174,2087,,TRUE,SIN006,Asia Pacific,Singapore,55,10
8.222.169.182,2053,,TRUE,SIN007,Asia Pacific,Singapore,101,10
8.222.219.252,2053,,TRUE,SIN008,Asia Pacific,Singapore,95,10
47.236.88.181,2083,,TRUE,SIN009,Asia Pacific,Singapore,114,10
47.236.94.113,2096,,TRUE,SIN010,Asia Pacific,Singapore,78,10
47.236.161.155,2087,,TRUE,SIN011,Asia Pacific,Singapore,179,10
47.236.7.246,2083,,TRUE,SIN012,Asia Pacific,Singapore,95,10
8.219.173.239,8443,,TRUE,SIN013,Asia Pacific,Singapore,107,10
47.236.166.184,2053,,TRUE,SIN014,Asia Pacific,Singapore,95,10
8.222.238.141,8443,,TRUE,SIN015,Asia Pacific,Singapore,117,10
47.236.166.131,8443,,TRUE,SIN016,Asia Pacific,Singapore,87,10
8.222.238.141,2053,,TRUE,SIN017,Asia Pacific,Singapore,161,10
47.236.171.20,2087,,TRUE,SIN018,Asia Pacific,Singapore,146,10
47.236.116.182,2096,,TRUE,SIN019,Asia Pacific,Singapore,59,10
8.222.238.141,2096,,TRUE,SIN020,Asia Pacific,Singapore,161,10
47.236.87.206,2053,,TRUE,SIN021,Asia Pacific,Singapore,91,10
47.236.65.177,2087,,TRUE,SIN022,Asia Pacific,Singapore,122,10
8.222.168.234,2083,,TRUE,SIN023,Asia Pacific,Singapore,137,10
8.222.221.197,8443,,TRUE,SIN024,Asia Pacific,Singapore,96,10
8.222.137.178,2053,,TRUE,SIN025,Asia Pacific,Singapore,91,10
47.236.94.109,2087,,TRUE,SIN026,Asia Pacific,Singapore,45,10
